Depth,Density
127.25,1.99
127.41,1.96
127.56,1.94
127.71,1.92
127.86,1.94
128.02,1.95
128.17,1.94
128.32,1.93
128.47,1.93
128.63,1.94
128.78,1.94
128.93,1.95
129.08,1.95
129.24,1.95
129.39,1.95
129.54,1.95
129.69,1.94
129.84,1.92
130,1.9
130.15,1.88
130.3,1.86
130.45,1.84
130.61,1.82
130.76,1.81
130.91,1.8
131.06,1.79
131.22,1.79
131.37,1.8
131.52,1.81
131.67,1.82
131.83,1.82
131.98,1.82
132.13,1.83
132.28,1.84
132.44,1.84
132.59,1.84
132.74,1.82
132.89,1.81
133.05,1.81
133.2,1.81
133.35,1.83
133.5,1.83
133.65,1.83
133.81,1.83
133.96,1.81
134.11,1.81
134.26,1.81
134.42,1.83
134.57,1.85
134.72,1.87
134.87,1.87
135.03,1.87
135.18,1.87
135.33,1.86
135.48,1.84
135.64,1.8
135.79,1.77
135.94,1.74
136.09,1.71
136.25,1.71
136.4,1.72
136.55,1.75
136.7,1.77
136.86,1.79
137.01,1.79
137.16,1.79
137.31,1.79
137.46,1.78
137.62,1.78
137.77,1.78
137.92,1.78
138.07,1.78
138.23,1.82
138.38,1.88
138.53,1.87
138.68,1.83
138.84,1.78
138.99,1.75
139.14,1.78
139.29,1.8
139.45,1.79
139.6,1.79
139.75,1.8
139.9,1.81
140.06,1.81
140.21,1.82
140.36,1.82
140.51,1.82
140.67,1.82
140.82,1.81
140.97,1.81
141.12,1.82
141.27,1.81
141.43,1.76
141.58,1.63
141.73,1.6
141.88,1.6
142.04,1.6
142.19,1.6
142.34,1.6
142.49,1.6
142.65,1.6
142.8,1.6
142.95,1.6
143.1,1.6
143.26,1.6
143.41,1.6
143.56,1.6
143.71,1.6
143.87,1.6
144.02,1.6
144.17,1.6
144.32,1.6
144.48,1.6
144.63,1.6
144.78,1.6
144.93,1.6
145.08,1.6
145.24,1.6
145.39,1.6
145.54,1.6
145.69,1.6
145.85,1.6
146,1.6
146.15,1.6
146.3,1.6
146.46,1.6
146.61,1.6
146.76,1.6
146.91,1.6
147.07,1.6
147.22,1.6
147.37,1.6
147.52,1.61
147.68,1.64
147.83,1.68
147.98,1.73
148.13,1.78
148.29,1.83
148.44,1.88
148.59,1.92
148.74,1.94
148.89,1.95
149.05,1.97
149.2,2
149.35,2.05
149.5,2.08
149.66,2.06
149.81,1.95
149.96,1.74
150.11,1.73
150.27,1.88
150.42,1.96
150.57,2.01
150.72,2.05
150.88,2.07
151.03,2.12
151.18,2.18
151.33,2.21
151.49,2.22
151.64,2.24
151.79,2.27
151.94,2.3
152.1,2.31
152.25,2.32
152.4,2.31
152.55,2.31
152.7,2.31
152.86,2.31
153.01,2.32
153.16,2.33
153.31,2.35
153.47,2.36
153.62,2.37
153.77,2.37
153.92,2.36
154.08,2.35
154.23,2.35
154.38,2.35
154.53,2.35
154.69,2.35
154.84,2.35
154.99,2.35
155.14,2.35
155.3,2.34
155.45,2.35
155.6,2.37
155.75,2.4
155.91,2.42
156.06,2.44
156.21,2.44
156.36,2.44
156.51,2.43
156.67,2.43
156.82,2.42
156.97,2.42
157.12,2.42
157.28,2.42
157.43,2.42
157.58,2.43
157.73,2.43
157.89,2.42
158.04,2.42
158.19,2.41
158.34,2.41
158.5,2.4
158.65,2.4
158.8,2.4
158.95,2.37
159.11,2.32
159.26,2.25
159.41,2.21
159.56,2.18
159.72,2.18
159.87,2.22
160.02,2.27
160.17,2.34
160.32,2.43
160.48,2.5
160.63,2.53
160.78,2.52
160.93,2.5
161.09,2.48
161.24,2.47
161.39,2.47
161.54,2.48
161.7,2.48
161.85,2.47
162,2.43
162.15,2.33
162.31,2.2
162.46,2.09
162.61,2.05
162.76,2.08
162.92,2.2
163.07,2.37
163.22,2.51
163.37,2.56
163.53,2.53
163.68,2.49
163.83,2.46
163.98,2.46
164.13,2.49
164.29,2.51
164.44,2.54
164.59,2.55
164.74,2.55
164.9,2.55
165.05,2.54
165.2,2.53
165.35,2.51
165.51,2.49
165.66,2.46
165.81,2.45
165.96,2.44
166.12,2.45
166.27,2.47
166.42,2.5
166.57,2.51
166.73,2.51
166.88,2.49
167.03,2.46
167.18,2.44
167.34,2.42
167.49,2.41
167.64,2.41
167.79,2.42
167.94,2.42
168.1,2.42
168.25,2.41
168.4,2.4
168.55,2.4
168.71,2.41
168.86,2.41
169.01,2.42
169.16,2.43
169.32,2.43
169.47,2.44
169.62,2.45
169.77,2.46
169.93,2.46
170.08,2.45
170.23,2.44
170.38,2.43
170.54,2.43
170.69,2.43
170.84,2.44
170.99,2.44
171.15,2.43
171.3,2.43
171.45,2.42
171.6,2.41
171.75,2.41
171.91,2.4
172.06,2.4
172.21,2.41
172.36,2.41
172.52,2.41
172.67,2.42
172.82,2.4
172.97,2.3
173.13,2.17
173.28,2.09
173.43,2.06
173.58,2.1
173.74,2.19
173.89,2.26
174.04,2.23
174.19,2.15
174.35,2.1
174.5,2.1
174.65,2.16
174.8,2.25
174.96,2.27
175.11,2.21
175.26,2.12
175.41,2.09
175.56,2.12
175.72,2.19
175.87,2.25
176.02,2.26
176.17,2.26
176.33,2.3
176.48,2.32
176.63,2.23
176.78,2.04
176.94,1.86
177.09,1.76
177.24,1.73
177.39,1.8
177.55,1.94
177.7,2.12
177.85,2.31
178,2.46
178.16,2.55
178.31,2.58
178.46,2.59
178.61,2.59
178.77,2.6
178.92,2.59
179.07,2.59
179.22,2.58
179.37,2.57
179.53,2.55
179.68,2.54
179.83,2.53
179.98,2.52
180.14,2.51
180.29,2.5
180.44,2.49
180.59,2.49
180.75,2.48
180.9,2.49
181.05,2.49
181.2,2.49
181.36,2.49
181.51,2.48
181.66,2.48
181.81,2.47
181.97,2.47
182.12,2.43
182.27,2.33
182.42,2.17
182.58,2.01
182.73,1.88
182.88,1.77
183.03,1.65
183.18,1.6
183.34,1.6
183.49,1.6
183.64,1.6
183.79,1.6
183.95,1.63
184.1,1.8
184.25,1.99
184.4,2.14
184.56,2.28
184.71,2.38
184.86,2.42
185.01,2.41
185.17,2.39
185.32,2.37
185.47,2.35
185.62,2.34
185.78,2.34
185.93,2.29
186.08,2.13
186.23,1.87
186.39,1.64
186.54,1.6
186.69,1.6
186.84,1.6
186.99,1.6
187.15,1.72
187.3,2
187.45,2.21
187.6,2.28
187.76,2.29
187.91,2.32
188.06,2.39
188.21,2.46
188.37,2.5
188.52,2.51
188.67,2.49
188.82,2.47
188.98,2.46
189.13,2.43
189.28,2.36
189.43,2.27
189.59,2.2
189.74,2.18
189.89,2.22
190.04,2.29
190.2,2.32
190.35,2.19
190.5,1.92
190.65,1.67
190.8,1.6
190.96,1.6
191.11,1.6
191.26,1.75
191.41,1.98
191.57,2.16
191.72,2.21
191.87,2.22
192.02,2.23
192.18,2.25
192.33,2.25
192.48,2.15
192.63,1.98
192.79,1.8
192.94,1.66
193.09,1.6
193.24,1.6
193.4,1.6
193.55,1.6
